,sepal length (cm),sepal width (cm),petal length (cm),classes
111,6.4,2.7,5.3,2
102,7.1,3.0,5.9,2
96,5.7,2.9,4.2,1
45,4.8,3.0,1.4,0
47,4.6,3.2,1.4,0
32,5.2,4.1,1.5,0
13,4.3,3.0,1.1,0
39,5.1,3.4,1.5,0
149,5.9,3.0,5.1,2
85,6.0,3.4,4.5,1
49,5.0,3.3,1.4,0
118,7.7,2.6,6.9,2
40,5.0,3.5,1.3,0
7,5.0,3.4,1.5,0
77,6.7,3.0,5.0,1
16,5.4,3.9,1.3,0
9,4.9,3.1,1.5,0
73,6.1,2.8,4.7,1
112,6.8,3.0,5.5,2
8,4.4,2.9,1.4,0
122,7.7,2.8,6.7,2
0,5.1,3.5,1.4,0
119,6.0,2.2,5.0,2
94,5.6,2.7,4.2,1
57,4.9,2.4,3.3,1
12,4.8,3.0,1.4,0
37,4.9,3.6,1.4,0
81,5.5,2.4,3.7,1
127,6.1,3.0,4.9,2
104,6.5,3.0,5.8,2
105,7.6,3.0,6.6,2
129,7.2,3.0,5.8,2
11,4.8,3.4,1.6,0
29,4.7,3.2,1.6,0
144,6.7,3.3,5.7,2
26,5.0,3.4,1.6,0
54,6.5,2.8,4.6,1
132,6.4,2.8,5.6,2
108,6.7,2.5,5.8,2
74,6.4,2.9,4.3,1
90,5.5,2.6,4.4,1
51,6.4,3.2,4.5,1
60,5.0,2.0,3.5,1
99,5.7,2.8,4.1,1
66,5.6,3.0,4.5,1
115,6.4,3.2,5.3,2
21,5.1,3.7,1.5,0
95,5.7,3.0,4.2,1
121,5.6,2.8,4.9,2
1,4.9,3.0,1.4,0